mid,ld,vrn,y,m,mo,ec,col,dd,tld,pav,rc,amfv,pn,ddob,ft,d,s,id
1938226872782,11/03/2018 7:16:30,WPE 8879,19/01/2015 14:08:25,Maserati,Durango,858,Slate,Roof rack scuffs,Repair,11062573,9900392,12845,PRC681512DH,30/01/2017,DIESEL/MHEV,3,3,06/10/2015
2728782455936,21/09/2016 5:32:52,VPR 6431,07/04/2016 4:59:28,Land Rover,Escalade,3514,Slate,Broken roof sill,Repair,33303922,10439832,24712,IWV129665EU,20/08/2023,PETROL/ALCOHOL,5,3,13/02/2016
3479213521666,16/12/2016 7:57:13,SYI 8423,02/04/2022 16:58:40,Bentley,Durango,2211,Silver,Side mirror ding,TotalLoss,39923610,110514577,87806,IWV599453ZR,14/04/2023,ELECTRIC,3,3,19/01/2017
7889566163777,03/04/2023 16:56:35,XIV 4834,15/07/2021 20:27:54,Subaru,Rav4,1977,Maroon,Roof rack dent,Repair,76305219,39722356,20538,IWV291251QM,29/05/2018,PETROL/LPG,6,6,25/02/2022
2600918992675,19/12/2022 8:53:50,AVO 8101,15/05/2021 5:41:55,Maserati,720S,3136,Brown,Roof rack dent,TotalLoss,89119764,703787046,7992,PRC589153ZY,07/10/2015,DIESEL/ELECTRIC,2,4 ,20/01/2022
6662833074320,27/08/2023 18:05:03,THG 5992,13/04/2016 6:34:25,Bugatti,Maxima,4351,Plum,Bumper ding,TotalLoss/Repair,86501405,97001088.2,80712,PRC605280VN,06/04/2020,DIESEL/ELECTRIC,2,3,30/03/2016
3670456445126,03/11/2020 15:33:44,HDW 5673,11/11/2021 8:44:29,Nissan,500X,3980,Beige,Chipped roof rack sill,Repair,11045563,8905901,25129,CHB807518MV,13/11/2019,DIESEL/ELECTRIC,6,5,21/07/2019
7021710206610,06/05/2019 4:14:01,FNE 5597,29/07/2018 9:51:26,Acura,Escape,2302,Magenta,Rearview mirror missing,Repair,31874301,13947887,67122,PRC603333MC,20/07/2017,PETROL/ALCOHOL,5,0,13/10/2022
8200700468124,09/01/2019 17:40:17,LHL 5765,14/08/2021 13:23:00,Ram,Vantage,1503,Gold,Fender damage,TotalLoss/Repair,86534925,107990706.5,4704,WZE597822AW,07/04/2017,DIESEL/MHEV,5,5,15/04/2017
1856996148209,12/06/2022 15:07:40,JXC 6952,19/02/2017 13:15:59,Acura,Impreza,1403,White,Rearview mirror scratch,TotalLoss,43489987,189786873,59007,WZE483459GL,07/06/2016,ELECTRIC,2,7,03/04/2020
8938014247959,16/09/2015 18:58:51,SUO 1183,17/10/2021 11:12:39,Porsche,Encore,1978,Teal,Front bumper scrape,TotalLoss/Repair,2701917,2977948.9,23852,WZE668384QQ,06/08/2021,DIESEL,6,6,09/08/2019
3214896156622,14/12/2020 13:37:58,NCU 2637,08/01/2023 23:50:47,Ferrari,Q50,4077,Plum,Roof sill dent,TotalLoss/Repair,24006230,26657132.6,75633,CHB180209TC,13/05/2022,DIESEL/MHEV,6,3,17/10/2022
7188930688125,05/07/2021 11:23:29,SRI 5348,27/12/2019 19:11:01,Acura,Golf,2107,Green,Broken roof rack sill,Repair,80194445,22594142,2040,ZOC445207YN,04/12/2019,DIESEL/ELECTRIC,2,2,19/07/2015
1593649819502,06/12/2020 15:10:41,XGJ 7018,03/05/2021 18:29:33,Jaguar,Range Rover,2929,Orange,Scratched paint,TotalLoss/Repair,18245820,20885972.0,43705,PRC402783JB,02/06/2020,DIESEL/MHEV,4,9,05/12/2018
1070348128283,16/08/2020 16:05:48,OXZ 5997,21/12/2020 19:55:23,Chevrolet,Ghost,4244,Plum,Dinged quarter sill,Repair,48105567,21506783,15593,ZOC310803QM,21/12/2019,ELECTRIC,2,4 ,08/11/2016
1345149758560,17/12/2020 19:31:42,IAN 1980,03/09/2019 8:56:18,Volkswagen,3 Series,4215,White,Tailgate dent,TotalLoss/Repair,72462338,85557667.8,97936,ZOC721530FO,03/04/2021,DIESEL/ELECTRIC,5,5,21/09/2021
9050139627027,05/02/2023 1:39:15,RVT 5837,22/12/2017 17:37:20,Audi,E-Class,3714,Ivory,Roof sill dent,Repair,48483855,36550763,98466,PRC811728VY,18/10/2018,DIESEL,2,8,19/10/2018
8476396130402,02/01/2016 1:52:29,UBF 8989,19/11/2015 10:47:36,Rolls-Royce,GranTurismo,3326,Orange,Tailgate scrape,TotalLoss,35228389,320780183,43536,IWV293206KS,26/12/2022,PETROL,3,7,23/04/2018
7721057381088,30/03/2016 6:12:08,AJI 6110,26/04/2023 2:00:54,Jeep,Cruze,2943,Beige,Chipped bumper scrape,TotalLoss,74845471,555416659,29671,PRC290284SD,26/05/2022,PETROL,0,3,19/09/2018
8758015789303,13/06/2017 11:03:39,IZE 0504,17/08/2015 6:20:20,Chrysler,Stelvio,979,Green,Roof rack dent,TotalLoss,4631220,4634104,7230,IWV873933HF,20/10/2015,DIESEL,5,5,18/01/2023
5670897458582,10/02/2017 3:28:35,EHV 2180,13/12/2020 13:45:25,Alfa Romeo,Vantage,825,Orange,Dented rear quarter panel,Repair,10327870,2195729,95258,WZE281424MK,28/02/2022,ELECTRIC,5,8,17/10/2017
8315596668932,15/02/2022 0:31:08,JUM 1283,10/08/2018 10:16:10,Bentley,Clubman,2265,Olive,Roof rack scuffs,TotalLoss/Repair,46869358,53458522.5,89034,PRC672274IW,29/06/2020,PETROL,4,0,30/06/2022
2058915255960,05/07/2016 5:52:39,LVB 0973,23/03/2017 23:45:43,Ram,Elantra,3353,Magenta,Bent roof rail sill,TotalLoss,4724130,18019949,89012,PRC992823VS,25/04/2023,DIESEL/ELECTRIC,0,6,19/05/2021
9437200297672,24/08/2015 22:35:35,UQL 8115,23/02/2019 7:02:03,McLaren,Range Rover,1359,Coral,Chipped windshield,Repair,9878796,5110277,67853,ZOC133476AM,15/10/2021,PETROL/LPG,3,0,12/08/2016
8636750759369,26/03/2018 8:31:31,JUU 9093,03/02/2018 8:18:22,Kia,Malibu,863,Blue,Roof dent,Repair,5359267,1023025,76274,CHB793992PH,17/05/2023,DIESEL/ELECTRIC,4,7,16/08/2023
8952120525829,14/12/2021 10:57:35,LHZ 7215,13/07/2021 22:14:03,Audi,Altima,4081,Indigo,Keyed doors,Repair,43900943,19058717,63335,PRC125542GD,26/05/2015,DIESEL/ELECTRIC,3,5,18/02/2021
1108675582044,21/04/2018 15:34:42,AII 9741,29/08/2023 18:13:20,Porsche,Malibu,2352,Green,Bumper scrape,TotalLoss,22675328,73261239,33083,IWV282074FC,14/07/2015,PETROL/ELECTRIC,0,9,22/02/2017
1726372214557,08/08/2023 5:31:50,PMB 0492,15/10/2019 23:54:13,Bentley,Rav4,4273,Maroon,Front bumper sill,TotalLoss,39049734,225611526,90796,WZE996528DC,19/04/2017,PETROL/LPG,3,0,14/10/2021
4991099642788,21/04/2016 22:18:21,ZHS 6636,17/01/2016 2:06:14,Subaru,Murano,2599,Olive,Roof sill dent,TotalLoss,61736574,353082764,59090,WZE993324MF,14/02/2022,DIESEL/ELECTRIC,3,2,21/03/2023
4032442501161,06/01/2021 7:03:49,AKI 3769,05/06/2022 18:09:28,Lexus,MX-5 Miata,3769,Gold,Roof sill chip,TotalLoss,14181132,89425615,44659,WZE837852CO,22/06/2023,DIESEL/MHEV,3,9,04/08/2022
8274304587021,23/11/2021 16:50:10,ZWD 7934,04/02/2015 20:59:14,Bugatti,Rav4,4285,Lavender,Front bumper scrape,TotalLoss,22384144,79563481,62896,ZOC339988WZ,09/04/2016,PETROL/ELECTRIC,4,0,08/07/2019
6048167556986,05/08/2016 1:53:16,AFN 0912,07/09/2018 17:02:37,Lexus,Giulia,4485,Blue,Front bumper chip,TotalLoss,2775102,27061763,18662,ZOC942531DJ,17/11/2017,DIESEL/ELECTRIC,5,3,27/07/2019
8245444068508,30/01/2019 18:08:12,KDL 6790,05/07/2022 0:53:48,Toyota,4 Series,3959,Cyan,Tailgate scrape,TotalLoss/Repair,70782105,77890739.9,86341,WZE553949TQ,17/11/2018,DIESEL,0,0,01/08/2021
4878482592573,29/07/2020 16:31:36,POQ 2028,30/01/2019 0:17:44,Dodge,Giulia,1630,Blue,Bent roof sill,TotalLoss,47936011,244580823,87537,IWV541902LZ,24/09/2017,PETROL/ALCOHOL,6,3,27/02/2022
8837313753523,06/05/2020 15:41:19,BNB 0062,04/03/2017 12:18:11,Lamborghini,Phantom,3489,Indigo,Front bumper scuffs,Repair,60679995,33085545,74127,WZE322736WK,05/08/2017,PETROL/ALCOHOL,0,0,13/11/2016
1725359384676,29/07/2023 19:59:18,RII 4321,05/08/2021 7:50:46,Nissan,Crosstrek,4161,Olive,Bumper dent,TotalLoss/Repair,44742463,54489183.0,88408,ZOC748646JL,01/01/2016,PETROL,2,7,21/08/2021
2317135460837,08/01/2021 8:06:45,UCH 0886,04/03/2021 20:01:53,Audi,C-Class,1611,Brown,Chipped bumper scrape,Repair,6019480,1740718,19625,ZOC293535EB,19/12/2015,PETROL,0,8,01/09/2023
4384359026986,12/01/2020 1:48:42,XBZ 7591,11/10/2019 5:15:19,Audi,Ascent,3328,Blue,Scratched roof rack sill,TotalLoss/Repair,96775765,124501492.0,33743,ZOC477758LZ,23/01/2018,PETROL,2,9,26/06/2015
9481288128629,16/06/2017 3:12:50,CIN 8839,01/01/2015 20:01:08,Ford,Range Rover,1626,Black,Roof rack chip,TotalLoss/Repair,44904915,54891383.7,92349,PRC987905WF,14/09/2022,DIESEL/ELECTRIC,4,8,20/12/2016
2804315619943,27/07/2019 22:06:55,TUI 6241,09/08/2017 12:07:41,Subaru,Optima,1015,Ivory,Rear bumper scratch,TotalLoss/Repair,55319816,67438539.2,10886,WZE697669IW,07/05/2022,DIESEL/ELECTRIC,3,6,26/07/2020
2367336235161,12/06/2020 5:05:46,COK 0913,19/07/2022 21:03:10,Cadillac,CLA,3089,Olive,Bent roof rack,TotalLoss,57680936,540699422,34772,PRC953995KK,15/05/2019,DIESEL/MHEV,4,2,01/07/2018
5026843096314,09/08/2018 9:03:02,LNZ 6445,11/01/2022 19:38:24,McLaren,Mustang,1574,Gray,Roof rack scrape,TotalLoss/Repair,77501982,85726297.8,78605,ZOC265229BW,15/04/2021,ELECTRIC,0,2,14/06/2022
1756755720885,02/11/2015 12:08:49,LEQ 3528,03/06/2023 1:38:19,Hyundai,Yukon,2660,Red,Roof rack scrape,TotalLoss,64462194,635980856,66985,ZOC362562CY,11/03/2023,DIESEL,4,9,01/08/2020
1726936798508,07/05/2020 9:12:49,IHL 6202,30/12/2019 23:09:00,Lexus,Ghost,4130,Purple,Scratched rear sill,TotalLoss/Repair,21415275,27008777.0,39233,CHB105438NP,03/08/2019,DIESEL,6,4 ,18/12/2021
2892060311625,06/07/2021 18:51:48,ZQD 8031,23/01/2020 11:07:29,Cadillac,Sorento,4499,White,Roof sill dent,TotalLoss/Repair,65285772,72058832.8,45195,CHB499202QX,02/08/2019,PETROL,4,3,20/09/2019
1573628082325,01/03/2023 11:25:47,YEK 0911,13/03/2016 17:55:03,Buick,488 GTB,1036,Tan,Broken roof rack sill,TotalLoss,96103362,135497662,35854,IWV601668MD,23/10/2016,DIESEL/ELECTRIC,0,9,14/10/2020
3991953402327,25/07/2022 7:41:13,AIU 2978,12/06/2018 8:39:45,Alfa Romeo,Murano,3944,Red,Chipped side mirror,Repair,81821263,76428665,51895,IWV333259DT,10/04/2017,PETROL/ELECTRIC,6,5,07/03/2016
3248421614195,19/03/2020 23:23:03,QMD 0973,27/08/2022 12:55:04,Hyundai,Civic,4283,Cyan,Chipped bumper scrape,TotalLoss,35396473,105028504,91365,ZOC289547ND,07/02/2021,DIESEL,4,4 ,26/11/2015
5771613921106,15/01/2019 12:44:31,QVU 9213,07/04/2016 9:11:43,Lexus,Impreza,1212,Green,Dinged roof sill,TotalLoss/Repair,85121057,105350864.2,9335,WZE285912HR,08/07/2018,PETROL/ELECTRIC,5,7,20/08/2019
2800562350240,06/09/2020 0:59:42,ONP 6148,20/06/2022 17:10:26,Aston Martin,Cooper,3064,Turquoise,Tailgate scrape,TotalLoss,99604506,558778281,75874,ZOC580282VA,17/12/2019,DIESEL,4,4 ,25/03/2016
9965076799642,10/03/2019 12:38:17,FJJ 2805,30/06/2018 7:07:33,Bentley,Vantage,2138,Blue,Front bumper scrape,TotalLoss,19311472,191936743,24800,PRC395307PH,01/12/2020,DIESEL,5,5,02/05/2016
1797776637590,16/10/2017 5:06:53,VBV 9391,05/11/2021 7:43:47,Fiat,488 GTB,3609,Lavender,Roof rack dent,Repair,4888258,2618097,44575,WZE988038MM,12/06/2017,PETROL/LPG,4,4 ,25/02/2022
8874366769636,23/12/2022 14:42:49,QGQ 9505,22/11/2020 23:21:05,Jeep,Renegade,4027,Orange,Roof rack chip,TotalLoss,82562730,408797153,38030,CHB604528PM,26/04/2022,PETROL,6,5,17/03/2018
3189082218883,11/07/2020 23:10:55,GTQ 9527,07/11/2022 1:16:03,Rolls-Royce,CX-5,4168,Olive,Chipped roof sill,TotalLoss,37548892,206416479,2717,IWV844105HH,15/01/2022,PETROL/ALCOHOL,5,0,09/04/2015
2864614544926,15/05/2020 3:48:28,JVN 7612,27/09/2022 11:22:32,Ford,Corolla,4281,Coral,Broken quarter window sill,Repair,47303086,19274519,77729,CHB969405ZF,30/08/2016,DIESEL/MHEV,4,3,09/08/2019
7506119050926,09/07/2019 5:06:28,UNX 0180,17/03/2018 8:34:49,Kia,720S,1439,Gold,Bent quarter sill,TotalLoss/Repair,22308311,28463568.4,63217,IWV521018FO,07/07/2019,PETROL/LPG,3,9,22/01/2020
2873621711378,10/12/2018 21:23:12,KBH 7523,31/10/2015 9:06:55,Mitsubishi,Explorer,4400,Coral,Tailgate dent,Repair,41650602,3537486,43335,CHB311796BS,01/03/2019,PETROL,6,0,08/03/2017
8645840936377,11/01/2017 12:20:18,LOX 1063,27/07/2015 18:36:29,Lexus,Range Rover,3316,White,Broken quarter window sill,TotalLoss,26240465,132325461,96450,PRC884071RA,09/01/2016,PETROL/ALCOHOL,0,6,29/08/2015
5624136624828,10/10/2022 7:27:09,IJT 8354,13/10/2019 6:22:06,Lexus,Crosstrek,3927,Beige,Tailgate scrape,TotalLoss,94510594,416887131,3362,ZOC795744IA,23/11/2016,DIESEL,0,8,14/03/2018
6887256117403,25/08/2022 2:26:44,QBP 3571,27/03/2022 9:31:19,Chevrolet,Outback,4278,Black,Roof dent,TotalLoss,63079922,314204330,87615,IWV720413FR,20/11/2017,PETROL/ELECTRIC,2,5,02/11/2017
6924540430419,02/09/2023 20:21:39,RNH 5885,23/05/2018 5:34:38,Ferrari,MX-5 Miata,2839,Red,Broken tailpipe,TotalLoss/Repair,91207525,107384933.7,76375,ZOC304520NA,13/11/2015,PETROL/ELECTRIC,3,9,27/08/2021
8025807241098,01/06/2018 7:34:01,LIO 8011,17/04/2016 8:53:12,Bentley,MX-5 Miata,2637,Turquoise,Roof rack dent,Repair,17296674,10108872,48877,IWV462232DF,25/07/2016,DIESEL,0,7,27/09/2018
4395522530662,09/02/2021 14:09:00,ZIH 2107,26/04/2018 17:39:16,Ferrari,300,2695,Blue,Tailgate dent,TotalLoss,41730654,122521456,18464,WZE668790AW,16/09/2022,DIESEL,5,3,06/05/2016
3596197235095,31/03/2021 20:26:32,SMD 0758,11/06/2018 14:27:55,Dodge,A6,3442,Blue,Rear bumper scuffs,Repair,13255637,1134861,44198,IWV853501XE,20/09/2017,PETROL/ALCOHOL,6,9,10/11/2021
3197533531511,17/08/2015 16:01:05,ZYW 8693,09/03/2018 4:51:51,Lamborghini,S60,2411,Blue,Roof sill dent,Repair,86965760,2726714,7175,IWV940961LG,06/01/2022,PETROL/ALCOHOL,2,4 ,05/09/2021
8581383761698,30/07/2016 15:23:01,HLL 2013,15/06/2016 21:17:23,Volkswagen,500X,1802,Green,Roof rack dent,Repair,45207322,17873589,4858,IWV231869PB,07/11/2019,DIESEL/MHEV,6,6,04/01/2015
4679208739080,04/09/2021 17:40:18,GCX 5112,10/01/2019 6:04:33,Acura,Sonata,2105,Brown,Roof sill dent,Repair,62310614,34630084,88920,ZOC595980AB,26/02/2019,PETROL,2,4 ,01/03/2020
1307236154145,01/09/2020 21:16:10,TET 6660,11/01/2018 8:51:06,Hyundai,Q3,811,Olive,Paint oxidation,TotalLoss/Repair,48923898,60985289.1,88506,CHB948236LM,12/08/2022,ELECTRIC,2,5,14/07/2019
2004628008744,28/06/2019 4:40:22,YJA 9001,29/04/2023 17:34:30,Tesla,Yukon,890,Red,Dented roof sill,TotalLoss/Repair,2409469,2837115.2,51779,ZOC471762DD,24/01/2022,DIESEL/MHEV,6,5,13/01/2018
2951988925113,13/09/2020 6:35:35,QWV 6540,15/04/2015 2:58:36,Jeep,Encore,3368,Pink,Roof rack dent,TotalLoss/Repair,12472776,14771911.4,94798,PRC802891EW,13/03/2020,DIESEL/ELECTRIC,4,7,14/07/2018
6072798590429,28/04/2016 19:47:43,NKO 4518,22/10/2021 16:56:37,Land Rover,Civic,4494,Plum,Bumper ding,TotalLoss/Repair,65786484,81406183.7,86926,WZE158506LE,08/02/2018,PETROL/ALCOHOL,0,8,26/08/2017
7180268427359,30/03/2015 12:59:48,QOQ 5875,02/01/2022 17:03:29,Honda,Kona,3307,Black,Roof dent,Repair,10395320,336261,16439,CHB127365VG,18/10/2017,PETROL/ALCOHOL,0,3,30/06/2018
6923492345814,30/07/2017 7:09:46,UCO 5975,16/06/2021 11:56:47,Chevrolet,4 Series,1744,Red,Front bumper dent,TotalLoss/Repair,51851725,60964275.0,1294,WZE971825OE,29/06/2019,PETROL,6,0,31/07/2017
8442401252647,02/09/2018 19:31:09,ALU 5540,24/01/2015 2:41:31,Hyundai,Ghibli,2206,White,Front bumper dent,Repair,51325241,10402856,41474,PRC289642PI,23/10/2020,DIESEL/MHEV,2,0,04/06/2018
9041527014313,05/11/2016 18:36:58,MQC 5376,21/07/2022 11:47:02,Volkswagen,Model 3,2852,Purple,Front bumper scrape,Repair,35756882,21721053,56790,CHB751690FK,11/03/2015,DIESEL/ELECTRIC,5,3,25/08/2015
8729771703442,23/09/2020 10:22:05,GRC 8151,13/07/2016 14:33:59,McLaren,Journey,1829,Green,Bumper dent,TotalLoss,19992600,32151023,27909,PRC606929EK,24/10/2022,PETROL/LPG,3,7,18/06/2016
3528714572461,22/06/2016 19:12:00,FLS 1462,02/07/2020 20:56:04,Nissan,Clubman,4406,Silver,Roof dent,TotalLoss,17723215,101969962,96291,CHB888067QJ,14/07/2018,PETROL,5,3,19/04/2018
6034909737862,29/05/2022 14:42:24,SVZ 8821,01/11/2015 10:03:57,Chevrolet,Golf,4493,Indigo,Roof rack dent,TotalLoss,3788689,16534877,40830,ZOC363761GP,04/09/2023,PETROL,0,5,20/01/2019
3125299177026,21/09/2018 3:15:20,GIL 8806,23/12/2018 6:37:39,Bentley,Giulia,2658,Purple,Chipped side mirror,TotalLoss,75506287,627607453,83237,ZOC479082VQ,27/03/2020,PETROL,3,0,06/03/2022
6600578835060,26/07/2018 22:08:38,EQC 3050,30/10/2020 9:37:07,Tesla,Q3,2243,Slate,Bent roof rack sill,Repair,84914945,84349668,79322,WZE226040KN,13/05/2022,PETROL,4,2,19/05/2018
5166839230693,09/09/2015 19:02:17,XQV 4947,15/07/2021 0:27:27,Honda,Q3,1868,Salmon,Roof sill dent,TotalLoss/Repair,92665201,119675493.4,74947,ZOC763287HG,28/05/2022,ELECTRIC,4,2,26/09/2017
4687278610207,30/05/2023 7:55:47,ENS 5945,22/08/2017 6:48:21,Infiniti,Giulia,4400,Green,Front bumper scrape,TotalLoss/Repair,66794298,76497899.8,21039,WZE952088OX,28/12/2015,PETROL,0,8,15/10/2017
8930187197745,31/05/2016 3:36:06,CSX 5572,26/07/2015 2:51:42,Rolls-Royce,CX-9,2872,Brown,Front bumper sill,TotalLoss/Repair,98693641,111128931.4,93181,CHB883121PC,18/01/2017,PETROL/LPG,3,4 ,30/11/2019
9943843701071,08/01/2020 1:24:46,JVJ 0361,03/12/2022 15:37:41,Chrysler,MX-5 Miata,811,Orange,Roof dent,Repair,62876246,28127211,78255,IWV666348ZO,29/01/2018,DIESEL,6,9,24/09/2022
5382737149308,10/05/2020 11:21:51,SID 0865,13/01/2020 16:33:04,Subaru,Pacifica,1206,Coral,Roof sill chip,TotalLoss,86763716,397647719,36468,PRC458757ZZ,21/04/2022,ELECTRIC,0,9,29/03/2021
4349936744894,23/08/2018 3:05:14,FBN 4541,05/12/2020 8:24:06,GMC,Canyon,4313,White,Dented roof sill,TotalLoss,68373247,371189215,46297,ZOC843485TU,01/08/2021,PETROL/LPG,5,7,04/05/2016
1254713195217,20/07/2015 14:20:18,HKI 7427,30/09/2015 7:27:12,Ram,Murano,4099,Indigo,Bent quarter sill,TotalLoss/Repair,38648407,44637079.5,21339,WZE192737EF,13/08/2023,PETROL/LPG,0,3,06/09/2020
8182788398479,25/07/2018 14:38:33,RBH 2915,11/04/2017 15:41:31,Maserati,Touareg,2144,Indigo,Dented roof sill,Repair,19049831,14836188,67930,ZOC372929SW,16/09/2021,DIESEL/MHEV,2,5,11/02/2015
2635754661962,22/06/2021 15:09:57,ZVT 6590,25/03/2022 10:07:17,Subaru,S60,2394,Salmon,Tailgate scrape,Repair,79623041,48432363,64498,IWV163860RF,25/08/2016,PETROL/ALCOHOL,5,3,14/08/2021
8759491254211,20/03/2017 1:08:10,DRN 8881,19/09/2017 18:57:52,Bentley,MDX,2919,Ruby,Roof dent,Repair,44872481,19658116,93337,CHB328060KA,22/04/2022,PETROL/ELECTRIC,5,3,18/07/2017
5195242757637,03/06/2023 23:14:05,CNL 4849,02/11/2018 14:17:22,Buick,Range Rover,3480,Silver,Front bumper dent,Repair,78964424,50301750,53445,PRC137426XP,29/01/2021,DIESEL/MHEV,3,4 ,20/07/2021
1120874024038,09/01/2023 22:59:31,SDD 5099,23/01/2015 16:27:37,Ferrari,Sportage,2439,Brown,Chipped roof sill,Repair,13162160,9965152,36971,ZOC536699HR,20/05/2018,PETROL,0,2,23/03/2021
7709102417937,26/02/2017 18:05:04,JNR 1885,20/06/2016 8:09:20,McLaren,Optima,1940,Cyan,Side panel dent,TotalLoss/Repair,66746390,73616236.0,73785,CHB940515GM,05/07/2021,PETROL/ALCOHOL,6,2,15/01/2019
6122112321649,12/04/2019 10:37:24,EUJ 9386,03/12/2016 22:17:13,Chrysler,Crosstrek,2115,Cyan,Chipped roof sill,Repair,12134345,5921805,41624,PRC929021IJ,05/10/2019,DIESEL/ELECTRIC,2,2,14/01/2018
1944025328459,15/05/2020 19:58:42,YDM 9712,23/05/2023 2:59:10,McLaren,4 Series,4118,Maroon,Tailgate chip,Repair,32033271,26300588,40692,PRC800455YC,22/01/2015,DIESEL/ELECTRIC,5,7,29/12/2017
3809159985024,10/08/2019 5:09:32,YNB 2444,30/08/2023 11:53:31,Bentley,5 Series,1663,Orange,Broken rocker panel,Repair,20078313,19689430,57279,CHB955481BF,02/06/2017,ELECTRIC,4,0,22/03/2018
2993514144926,19/01/2020 14:09:20,CNC 0430,17/07/2016 0:15:01,Jaguar,Silverado,1903,Turquoise,Dented bumper sill,TotalLoss/Repair,69881994,83475609.7,63417,WZE516594XH,14/11/2022,ELECTRIC,6,0,12/06/2016
6364431414526,13/07/2021 13:40:02,RXZ 7828,28/02/2021 18:44:11,Chrysler,Range Rover,2853,Ivory,Roof rack scrape,TotalLoss/Repair,48626858,58045925.7,19886,ZOC244666HY,14/06/2017,PETROL/LPG,2,8,29/10/2016
7418335726665,09/06/2020 18:15:47,URF 3894,11/12/2018 20:21:12,Aston Martin,Crosstrek,3107,Salmon,Bumper dent,TotalLoss/Repair,44717026,49999938.5,91487,IWV719704VG,16/09/2015,PETROL/ALCOHOL,6,9,19/04/2018
3763655987242,25/06/2016 7:04:23,WGY 8664,08/07/2019 12:33:57,Buick,Optima,2873,Charcoal,Broken quarter sill,Repair,67333066,5525861,2540,PRC518969PQ,26/03/2018,PETROL/ELECTRIC,0,7,11/10/2015
4612118605851,24/07/2018 18:05:52,YSM 8291,29/04/2018 22:33:12,Infiniti,Corolla,4371,Ruby,Roof dent,Repair,12557495,7394816,23415,WZE716012HR,29/04/2023,PETROL/ELECTRIC,3,6,12/07/2023
3300140932642,10/08/2015 19:49:23,FZG 2991,27/07/2023 14:45:04,Porsche,S4,3494,Gray,Bumper scrape,TotalLoss,48226995,477576132,20670,IWV763672HU,04/09/2019,ELECTRIC,4,0,14/08/2022
8274912020283,03/12/2019 10:58:09,GYZ 4406,13/06/2018 17:44:24,Mini,CX-30,3825,Orange,Dinged roof rack sill,TotalLoss,13521549,132786740,37069,PRC278902LD,31/01/2021,DIESEL/MHEV,3,7,08/05/2016
6042501897564,02/04/2015 21:10:12,EVV 2039,04/10/2021 11:29:17,Jeep,Kona,3206,Gold,Dented side window sill,Repair,46659970,26569716,33908,PRC969433UB,23/04/2021,PETROL/ALCOHOL,5,3,04/04/2019
3457145188548,15/09/2016 20:11:04,CIM 9464,29/09/2019 12:11:38,Lexus,CX-9,4383,Salmon,Roof rack chip,TotalLoss/Repair,58579046,66648164.5,63628,WZE593607OF,22/03/2019,PETROL/ELECTRIC,0,7,24/07/2016
2795659143196,27/10/2022 20:24:55,SZL 4451,09/02/2022 13:43:27,Fiat,Sportage,2976,Silver,Front bumper dent,Repair,65893742,5558900,94290,ZOC524917ON,06/07/2016,DIESEL,6,4 ,04/06/2020
2608397351460,30/07/2018 21:46:59,JQS 8732,20/12/2015 4:26:27,Ferrari,Rav4,1133,Ruby,Dinged roof sill,TotalLoss,17129698,148919326,44019,WZE414966XZ,22/04/2021,PETROL/ELECTRIC,6,6,19/05/2022
1984930624662,03/04/2022 17:40:09,ZUI 9124,22/01/2023 10:37:04,Bugatti,Challenger,1583,Gold,Front bumper dent,Repair,71583239,20718522,77605,ZOC835502YX,11/08/2020,PETROL/ELECTRIC,3,4 ,24/12/2021
7860367242690,27/10/2015 17:41:59,RRH 8289,31/03/2022 20:43:09,Infiniti,Canyon,880,Olive,Roof sill dent,TotalLoss,37768525,54291464,36256,ZOC251679LT,21/11/2018,DIESEL,0,8,25/04/2016
5094015934986,30/03/2021 15:35:41,FEX 8687,02/01/2017 23:09:37,Rolls-Royce,Yukon,2306,Silver,Dinged roof sill,TotalLoss/Repair,52526051,60593170.6,82696,PRC137234LN,17/12/2020,DIESEL,2,7,27/12/2021
7576487553897,06/12/2021 15:42:49,WEU 0395,13/08/2023 5:49:02,Aston Martin,Golf,2226,Gray,Broken bumper sill,TotalLoss,44299272,322883312,18173,PRC932830LU,21/04/2018,PETROL/ALCOHOL,0,7,16/12/2015
4099953934647,02/01/2019 1:21:52,KFP 5310,15/06/2020 7:21:16,Kia,Model Y,3540,Tan,Bumper dent,TotalLoss/Repair,3549994,4323624.1,85424,ZOC450094MF,08/03/2022,PETROL/ELECTRIC,3,7,14/02/2018
2500359626867,27/12/2016 23:58:33,DSW 3121,19/04/2019 19:03:19,Acura,Chiron,2318,Silver,Chipped bumper scrape,TotalLoss/Repair,40162699,46719102.5,57138,WZE868256OT,17/09/2016,DIESEL,2,9,21/08/2019
3249083183403,25/02/2021 10:25:38,WMK 6791,16/10/2017 21:20:30,McLaren,Flying Spur,3751,Brown,Side mirror dent,TotalLoss/Repair,24422272,31269043.8,15598,PRC141799VP,19/10/2015,DIESEL/ELECTRIC,2,2,11/12/2018
6424201896597,14/06/2017 17:17:43,FFD 1574,22/03/2020 15:00:26,Kia,Ascent,3678,Ruby,Roof dent,Repair,64502472,57301921,54296,ZOC562031HP,10/12/2016,PETROL/ALCOHOL,6,9,28/04/2016
